Mouse id,Modality,QC (true/false),Sex,Transgenic details,Virus(es),Birth date,Surgery date(s),Notes
830794,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/24/25,12/9/26; 1/30/26,
832700,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,10/5/25,12/3/25,Found dead after complete data collection before mFISH
841191,SLAP2,,Male,wt/wt,1E12 PHP.eB-hSyn-DIO-ASAP7y + 1E12 PHP.eB-hSyn-FLEX-HaloTag-WPRE + 1.2E8 PHP.eB-CamKII0.4.Cre.SV40,10/7/25,12/8/25,
834691,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,10/18/25,1/7/26; 2/20/26,
845207,SLAP2,,Male,wt/wt,1E12 PHP.eB-hSyn-DIO-ASAP7y + 1E12 PHP.eB-hSyn-FLEX-HaloTag-WPRE + 1.2E8 PHP.eB-CamKII0.4.Cre.SV40,11/4/25,1/13/26,
837568,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,11/4/25,1/5/26,
839909,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,11/17/25,1/12/26,
851452,SLAP2,False (1 session),Male,wt/wt,1E12 PHP.eB-hSyn-DIO-ASAP7y + 1E12 PHP.eB-hSyn-FLEX-HaloTag-WPRE + 1.2E8 PHP.eB-CamKII0.4.Cre.SV40,12/9/25,2/10/26,
851453,SLAP2,True(3 sessions),Male,wt/wt,1E12 PHP.eB-hSyn-DIO-ASAP7y + 1E12 PHP.eB-hSyn-FLEX-HaloTag-WPRE + 1.2E8 PHP.eB-CamKII0.4.Cre.SV40,12/9/25,2/10/26,
841193,SLAP2,FAILED,?,wt/wt,?,12/01/25,?,"Mouse had a lot of issues. Stress, slap2 stopping mid-way. Some of the behavior stopped. We decided to delete the data."
830795,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/24/25,1/13/26; 2/20/26,
830852,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/25/25,1/15/26; 2/20/26,
830848,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/25/25,1/20/26; 2/27/26,
830849,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/25/25,1/21/26; 2/27/26,
830847,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/25/25,1/27/26; 3/6/26,
830846,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/25/25,1/26/26; 3/6/26,
834687,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,10/18/25,1/8/26; 3/13/26,
830851,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,9/25/25,1/12/26; 3/13/26,
846289,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,12/30/25,3/4/26,
842971,MESO,,Female,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,12/5/25,2/10/26,
834686,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,10/18/25,2/10/26; 3/20/26,
832691,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,10/5/25,2/11/26; 3/20/26,
843000,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,12/5/25,1/26/26,
843001,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,12/5/25,2/5/26,
845342,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,12/24/25,2/19/26,
850399,MESO,,Male,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,1/22/26,3/23/26,
853137,MESO,,Female,Snap25-IRES2-Cre/wt;Oi4(TIT2L-jGCaMP8s-RiboL1-WPRE-ICL-IRES-tTA2-WPRE)/wt,None,2/7/26,4/28/26,
848390,EPHYS,,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,1/9/26,3/26/26,
848387,EPHYS,,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,None,1/9/26,3/24/26,
